interaction_type,AC,poll_question,user_id,where,who,gender,poll_option_orig,poll_option_recoded_close_to_original,poll_option_recoded_lower_resolution,poll_option_coarse_recoding,impacts_on_item_of_column_I,system,WP2,WP3,WP4,WP5,WP6,nr_WPs,,,duplicated_in_col-J_poll_option_recoded_lower_resolution,,Row_number,Row_static
cloud,PELAC,Which items would you like to know the impact of?,905d71b10d8284d0f9884ae707856c2de4fec2b7,North_Sea/Mediterranean,manager,Man,windfarm (double entry),,,,,,0,0,0,0,1,1,,,,,#VALUE!,421
individual,MEDAC,NA,M1,Mediterranean,other,Woman,fleets from the third countries,third country fleets,3rd country fishers,management,"local communities, profitability, job (icons)",social,1,0,0,0,1,2,,,,,#VALUE!,2365
individual,Greek,NA,G15,Mediterranean,industry,Man,trawlers from other countries,trawlers from other countries,3rd country fishers,management,"cross border issues, fishery socio-economic",social,1,0,0,0,1,2,,,,,#VALUE!,2549
individual,Greek,NA,G17,Mediterranean,industry,Man,"trawlers from other countries, cross border issues,",trawlers from other countries,3rd country fishers,management,"cross border issues, fishery socio-economic",social,1,0,0,0,1,2,,,,,#VALUE!,2583
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,safety,safety,security on board,fishers,NA,social,1,0,0,0,1,2,,,"well-being of fishers (working conditions, safety onboard, etc.)",0,#VALUE!,1144
cloud,kickoff,Which social items would you like advice on?,NA,North_Sea,Scientist,NA,Accident rates in fisheries,accident rates in fisheries,security on board,fishers,,social,1,0,0,0,1,2,,,,,#VALUE!,1960
individual,kickoff,NA,K9,Mediterranean,Scientist,Man,Where can I fish safely (locally with my small boat) without hurting nurseries and juveniles,safety,security on board,fishers,,social,1,0,0,0,1,2,,,,,#VALUE!,2176
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,"climate change (temperature increase, acidification increase)",acidification,acidification,landbased impacts,species distribution,social,1,0,0,0,1,2,,,,,#VALUE!,137
cloud,kickoff,Which items would you like to know the impact of?,NA,North_Sea,Scientist,NA,Acidification,acidification,acidification,landbased impacts,,social,1,0,0,0,1,2,,,,,#VALUE!,2024
individual,BSAC,NA,BS_1,Baltic_sea,NGO,Woman,adaptive management,adaptive management,adaptive management,management,,social,1,0,0,0,1,2,,,,,,
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,North Sea agreements,North Sea agreements,agreements,management,,social,1,0,0,0,1,2,,,,,1,188
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Unilaterel agreements,unilaterel agreements,agreements,management,,social,1,0,0,0,1,2,,,,,2,189
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,uncertainties/lack of visibility of agreements,visibility of agreements,agreements,management,,social,1,0,0,0,1,2,,,,,3,193
cloud,NSAC,Which items would you like to know the impact of?,3c02f13bbe12d5c53baa5e29ba077425163b1a09,North_Sea,,,aquaculture,aquaculture,aquaculture,non-fishing maritime activities,,social,1,0,0,0,1,2,,,,,4,344
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,aquaculture,aquaculture,aquaculture,non-fishing maritime activities,NA,social,1,0,0,0,1,2,,,aquaculture,0,5,1194
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,aquaculture,aquaculture,aquaculture,non-fishing maritime activities,NA,social,1,0,0,0,1,2,,,aquaculture,0,6,1195
cloud,kickoff,Which items would you like to know the impact of?,NA,Western_waters,Scientist,NA,aquaculture,aquaculture,aquaculture,non-fishing maritime activities,NA,social,1,0,0,0,1,2,,,aquaculture,0,7,1196
individual,kickoff,NA,user_dia009,Western_waters,Scientist,NA,aquaculture,aquaculture,aquaculture,non-fishing maritime activities,"seabed habitats, rivers",social,1,0,0,0,1,2,,,aquaculture,0,8,1386
individual,kickoff,NA,BSsci03,Baltic_Sea,Scientist,Woman,"physical structures: windfarms, gas pipes, coastal defence, fish farms, etc.",aquaculture,aquaculture,non-fishing maritime activities,"loss, adverse effects on state, economic income/sociatal capital",social,1,0,0,0,1,2,,,,,9,1618
individual,Greek,NA,G17,Mediterranean,industry,Man,"aquaculture, mass tourism",aquaculture,aquaculture,non-fishing maritime activities,"space, pollution, litter",social,1,0,0,1,1,3,,,,,10,2578
individual,NSAC,NA,NSSta01,North_Sea,Industry,Woman,Windmills/artificialization,artificialization,artificialization,non-fishing maritime activities,fishing zones,social,1,0,0,0,1,2,,,,,11,144
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,beamtrawlers,beam trawl fisheries,beam trawl fisheries,fisheries,,fisheries,1,0,0,0,1,2,,,,,12,7
individual,PELAC,NA,NSSta05,North_Sea,industry,Man,beamtrawlers,beam trawl fisheries,beam trawl fisheries,fisheries,,fisheries,1,0,0,0,1,2,,,,,13,232
individual,PELAC,NA,NSSta06,North_Sea,industry,Man,beamtrawlers,beam trawl fisheries,beam trawl fisheries,fisheries,,fisheries,1,0,0,0,1,2,,,,,14,280
individual,NWWAC,NA,user004,Western_waters,Scientist,Man,PIC: beam trawl,beam trawl fisheries,beam trawl fisheries,fisheries,NA,fisheries,1,0,0,0,1,2,,,bottom trawling,0,15,889
individual,kickoff,NA,user_dia001,Western_waters,Scientist,NA,beam trawl fisheries,beam trawl fisheries,beam trawl fisheries,fisheries,NA,fisheries,1,0,0,0,1,2,,,bottom trawling,0,16,1269
individual,kickoff,NA,user_dia013,Western_waters,Scientist,NA,PIC: beam trawl fisheries,beam trawl fisheries,beam trawl fisheries,fisheries,ecosystem,fisheries,1,0,0,0,1,2,,,bottom trawling,0,17,1476
individual,kickoff,NA,user_dia013,Western_waters,Scientist,NA,PIC: beam trawl fisheries,beam trawl fisheries,beam trawl fisheries,fisheries,"pelagic fisheries, small-scale fisheries",fisheries,1,0,0,0,1,2,,,bottom trawling,1,18,1480
individual,kickoff,NA,NSSCI04,North_Sea/Western_waters,Scientist,Woman,"Services, biodiversity",biodiversity,biodiversity,biodiversity,,ecological,0,0,1,0,1,2,,,,,19,57
cloud,SWWAC,Which ecological items would you like advice on?,95019bc933d6ea50548d65d38a2f8e638aabe566,Western_waters,NGO,Woman,Climate change factors coupling with biodiversity ,biodiversity,biodiversity,biodiversity,biodiversity,ecological,0,0,1,0,1,2,,,climate,0,20,518
individual,NWWAC,NA,user002,Western_waters,Industry,Man,Attention biodiversité,biodiversity,biodiversity,biodiversity,short supply chain,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,21,812
individual,SWWAC,NA,user007,Western_waters,NGO,Man,Species biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,22,956
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,23,981
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,24,982
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,25,983
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,26,984
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,27,985
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,28,986
cloud,kickoff,Which ecological items would you like advice on?,NA,Western_waters,Scientist,NA,biodiversity,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,29,987
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,Biodiversity protection,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,30,1072
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,Biodiversity protection,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,31,1073
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,Biodiversity protection,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,32,1074
cloud,kickoff,Which social items would you like advice on?,NA,Western_waters,Scientist,NA,Biodiversity protection,biodiversity,biodiversity,biodiversity,NA,ecological,0,0,1,1,1,3,,,"biodiversity (community composition, protection, etc.)",0,33,1075
