,SW.ID,SearchID,Authors,Title,Year,Source.title,Volume,Issue,Page.start,Page.end,DOI,Link,Abstract,Language,Document.Type,Open.Access,Database,Exclusion.Criteria,Region,Scale...Spatial..m.,Scale...Temporal,Resolution...Spatial..m.,Resolution...Temporal,Sampling.Method.used.for.data.collection,Analytical.method.used.for.inference,Quality...Spatial..relative.1.3.,Quality...Temporal,Quality...Methods,Concluding.statement.or.quotable.quote,Comments,Species,Life.stage,Environmental.Drivers.,Process,Metric,Direction.of.relationship,Strength.of.relationships,Additional.info.about.response,Driverscategory
2,n3_sco.492,n_sco.492,"Arnott S.A., Ruxton G.D.","Sandeel recruitment in the North Sea: Demographic, climatic and trophic effects",2002,Marine Ecology Progress Series,238,,199,210,10.3354/meps238199,NA,"The lesser sandeel Ammodytes marinus, which is one of the most abundant fish in the North Sea, has highly variable recruitment dynamics. We evaluate potential associations between their recruitment and some key biological and physical factors. Population data were analysed at the North Sea scale (years 1983 to 1999) and at the regional scale (southwestern section and northeastern section; years 1984 to 1996/7). Relationships between recruitment and spawning stock biomass were weak, but Age-1 sandeels (non-spawners) were related negatively with recruitment, implying that demographic effects are important. A negative relationship was detected between recruitment and the winter index of the North Atlantic Oscillation, which affects sea temperatures during the egg and larval period. Warmer sea temperatures correlated with poorer than average recruitment. This effect was most pronounced in the southwestern part of the North Sea, which is near the southern limit of the species' distribution. There was a positive association between recruitment and Calanus copepod (Stages V and VI) abundance around the time of larval hatching, suggesting that the availability of this prey species is important for young sandeel survival. Our findings suggest that climate change may impact upon sandeel populations in the North Sea.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Regular Fisheries Independent Survey,Multiple Correlation Analyses,3,2,2,NA,NA,Ammodytes,juveniles,Temperature,Abundance,NA,Overall negative response,Medium,NA,TEMPERATURE
3,n3_sco.492,n_sco.492,"Arnott S.A., Ruxton G.D.","Sandeel recruitment in the North Sea: Demographic, climatic and trophic effects",2002,Marine Ecology Progress Series,238,,199,210,10.3354/meps238199,NA,"The lesser sandeel Ammodytes marinus, which is one of the most abundant fish in the North Sea, has highly variable recruitment dynamics. We evaluate potential associations between their recruitment and some key biological and physical factors. Population data were analysed at the North Sea scale (years 1983 to 1999) and at the regional scale (southwestern section and northeastern section; years 1984 to 1996/7). Relationships between recruitment and spawning stock biomass were weak, but Age-1 sandeels (non-spawners) were related negatively with recruitment, implying that demographic effects are important. A negative relationship was detected between recruitment and the winter index of the North Atlantic Oscillation, which affects sea temperatures during the egg and larval period. Warmer sea temperatures correlated with poorer than average recruitment. This effect was most pronounced in the southwestern part of the North Sea, which is near the southern limit of the species' distribution. There was a positive association between recruitment and Calanus copepod (Stages V and VI) abundance around the time of larval hatching, suggesting that the availability of this prey species is important for young sandeel survival. Our findings suggest that climate change may impact upon sandeel populations in the North Sea.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Regular Fisheries Independent Survey,Multiple Correlation Analyses,3,2,2,NA,NA,Ammodytes,juveniles,Prey availability,Abundance,"Driver was based on Calanus abundance, sampled from the continuous plankton recorder",Overall negative response,Small,NA,FOOD
4,n3_sco.492,n_sco.492,"Arnott S.A., Ruxton G.D.","Sandeel recruitment in the North Sea: Demographic, climatic and trophic effects",2002,Marine Ecology Progress Series,238,,199,210,10.3354/meps238199,NA,"The lesser sandeel Ammodytes marinus, which is one of the most abundant fish in the North Sea, has highly variable recruitment dynamics. We evaluate potential associations between their recruitment and some key biological and physical factors. Population data were analysed at the North Sea scale (years 1983 to 1999) and at the regional scale (southwestern section and northeastern section; years 1984 to 1996/7). Relationships between recruitment and spawning stock biomass were weak, but Age-1 sandeels (non-spawners) were related negatively with recruitment, implying that demographic effects are important. A negative relationship was detected between recruitment and the winter index of the North Atlantic Oscillation, which affects sea temperatures during the egg and larval period. Warmer sea temperatures correlated with poorer than average recruitment. This effect was most pronounced in the southwestern part of the North Sea, which is near the southern limit of the species' distribution. There was a positive association between recruitment and Calanus copepod (Stages V and VI) abundance around the time of larval hatching, suggesting that the availability of this prey species is important for young sandeel survival. Our findings suggest that climate change may impact upon sandeel populations in the North Sea.",English,Article,"All Open Access, Bronze, Green",Scopus,K,North Sea - CS,">100,000",multidecadal,"50,000-100,000",year,Regular Fisheries Independent Survey,Multiple Correlation Analyses,3,2,2,NA,NA,Ammodytes,juveniles,Other,Abundance,Driver was NAO index,Overall negative response,Small,NA,Other
7,n3_sco.522,n_sco.522,"Sirabella P., Giuliani A., Colosimo A., Dippner J.W.",Breaking down the climate effects on cod recruitment by principal component analysis and canonical correlation,2001,Marine Ecology Progress Series,216,,213,222,10.3354/meps216213,NA,"The pattern of temporal correlations between cod recruitment and sea temperature, in conjuction with the climate variability of atmospheric pressure anomalies (NAO index) was investigated by means of a combined use of principal component analysis (PCA) and canonical correlation analysis (CCA), using time series collected in the area surrounding the Kola peninsula (Barents Sea) and in the North Sea. The proposed data analysis strategy, namely to carry out a PCA of the temperature, cod recruitment and NAO time series followed by a CCA between the component spaces of all the possible data sets couples (recruitment vs temperature, recruitment vs NAO and NAO vs temperature), allowed us to sketch a general model of correlation between climate and cod recruitment dynamics. Two independent effects of temperature variability on cod recruitment emerged for the Kola region, pointing to the existence of at least 2 different mechanisms of comparable importance by which temperature may affect cod recruitment. In the North Sea the situation is somewhat simpler, and the data are compatible with only 1 major interaction mechanism. Moreover, the general effect of temperature on cod recruitment was opposite in the 2 regions: direct correlation for the Barents Sea, inverse correlation for the North Sea. This is probably due to the existence of an optimal temperature regime for cod recruitment lying in between the 'cold' Barents Sea and the 'warm' North Sea.",English,Article,"All Open Access, Bronze",Scopus,K,North Sea - CS,">100,000",multidecadal,NA,year,Simulated dynamics,Principal component analyses and canonical correlation,NA,2,2,NA,NA,Gadus morhua,juveniles,Temperature,Abundance,Abundance taken from stock assessment output,Overall negative response,Medium,"Given the context of a second study area (Barents Sea) having a positive response to temperature, this relation ship is likely an ""optimal type"".",TEMPERATURE
8,n3_sco.532,n_sco.532,"Grioche A., Koubbi P., Harlay X., Sautour B.",Sole larval distribution (Solea solea) in the eastern English Channel and Southern Bight of the North Sea,2001,Journal of the Marine Biological Association of the United Kingdom,81,4,673,678,10.1017/S0025315401004350,NA,"The distribution of sole (Solea solea) eggs and larvae were described from two cruises conducted in April and May 1995 along the French coast of the eastern English Channel and the Belgian coast of the Southern Bight of the North Sea. Sole migration was investigated using larval stages and univariate spatial analysis as geostatistics (variograms). Important environmental parameters were selected by comparison with larval distribution. Path analysis was used to remove spatial correlation and to define links between abundance and environmental variables. Sole larvae were found to be coastal throughout their development. Strong links between larval distribution and environmental parameters were identified, particularly for the younger stages which were found in higher abundance in areas of high chlorophyll-a concentration. The association was not direct, suggesting that the larval spatial distribution was influenced by an undetermined, intermediate variable, such as larval prey. Sole larvae are retained in the coastal area throughout ontogeny despite the strong hydrodynamics which characterize the region. Larval distribution resulted from behavioural mechanisms as well as environmental influences.",English,Article,,Scopus,K,North Sea - CS,">100,000",two month,"5,000-10,000",two month,Irregular Fisheries Independent Survey,Kriging and spatially explicity selection of environmental variables for pathway analyses,3,1,2,NA,NA,Solea solea,"early life stages (eggs, larvae)",Temperature,Abundance,Larvae abundance in bongo nets,Mixed response,Medium,Relative temperature differences across space at any given time had positive and negative effects on larvae of different stages.,TEMPERATURE
9,n3_sco.532,n_sco.532,"Grioche A., Koubbi P., Harlay X., Sautour B.",Sole larval distribution (Solea solea) in the eastern English Channel and Southern Bight of the North Sea,2001,Journal of the Marine Biological Association of the United Kingdom,81,4,673,678,10.1017/S0025315401004350,NA,"The distribution of sole (Solea solea) eggs and larvae were described from two cruises conducted in April and May 1995 along the French coast of the eastern English Channel and the Belgian coast of the Southern Bight of the North Sea. Sole migration was investigated using larval stages and univariate spatial analysis as geostatistics (variograms). Important environmental parameters were selected by comparison with larval distribution. Path analysis was used to remove spatial correlation and to define links between abundance and environmental variables. Sole larvae were found to be coastal throughout their development. Strong links between larval distribution and environmental parameters were identified, particularly for the younger stages which were found in higher abundance in areas of high chlorophyll-a concentration. The association was not direct, suggesting that the larval spatial distribution was influenced by an undetermined, intermediate variable, such as larval prey. Sole larvae are retained in the coastal area throughout ontogeny despite the strong hydrodynamics which characterize the region. Larval distribution resulted from behavioural mechanisms as well as environmental influences.",English,Article,,Scopus,K,North Sea - CS,">100,000",two month,"5,000-10,000",two month,Irregular Fisheries Independent Survey,Kriging and spatially explicity selection of environmental variables for pathway analyses,3,1,2,NA,NA,Solea solea,"early life stages (eggs, larvae)",Salinity,Abundance,Larvae abundance in bongo nets,Overall negative response,Large,NA,CLIMATE & OCEANOGRAPHY
10,n3_sco.532,n_sco.532,"Grioche A., Koubbi P., Harlay X., Sautour B.",Sole larval distribution (Solea solea) in the eastern English Channel and Southern Bight of the North Sea,2001,Journal of the Marine Biological Association of the United Kingdom,81,4,673,678,10.1017/S0025315401004350,NA,"The distribution of sole (Solea solea) eggs and larvae were described from two cruises conducted in April and May 1995 along the French coast of the eastern English Channel and the Belgian coast of the Southern Bight of the North Sea. Sole migration was investigated using larval stages and univariate spatial analysis as geostatistics (variograms). Important environmental parameters were selected by comparison with larval distribution. Path analysis was used to remove spatial correlation and to define links between abundance and environmental variables. Sole larvae were found to be coastal throughout their development. Strong links between larval distribution and environmental parameters were identified, particularly for the younger stages which were found in higher abundance in areas of high chlorophyll-a concentration. The association was not direct, suggesting that the larval spatial distribution was influenced by an undetermined, intermediate variable, such as larval prey. Sole larvae are retained in the coastal area throughout ontogeny despite the strong hydrodynamics which characterize the region. Larval distribution resulted from behavioural mechanisms as well as environmental influences.",English,Article,,Scopus,K,North Sea - CS,">100,000",two month,"5,000-10,000",two month,Irregular Fisheries Independent Survey,Kriging and spatially explicity selection of environmental variables for pathway analyses,3,1,2,NA,NA,Solea solea,"early life stages (eggs, larvae)",Plankton,Abundance,Larvae abundance in bongo nets,Overall positive response,Medium,"Proposed that this relationship was mediated by increase in prey, which were not sampled. ",FOOD
11,n3_sco.582,n_sco.582,"Maravelias C.D., Reid D.G.",Identifying the effects of oceanographic features and zooplankton on prespawning herring abundance using generalized additive models,1997,Marine Ecology Progress Series,147,1-Mar,1,9,10.3354/meps147001,NA,"Spatial distribution patterns of prespawning herring were analyzed in relation to zooplankton biomass, sea-surface temperature and salinity, temperature and depth of the thermocline (fronts) and the temperature difference between surface and bottom water. Data were collected in midsummer 1995 during the ICES coordinated herring acoustic survey of the ICES Division IVa. We used generalized additive models (GAMs), nonparametric generalization of multiple linear regression, to test the hypothesis that prespawning herring distribution is related to zooplankton availability and the oceanography around the Shetland Islands (UK), with particular reference to inflows from the Slope Current. The results of this study supported this hypothesis. We found that zooplankton biomass and the location of ocean fronts influence the distribution of prespawning herring. Mean herring abundance was consistently highest in areas having a surface salinity of 35.1 ppt and where the zooplankton abundances were higher. Results indicated that herring appeared to prefer the well-mixed waters and transition zones and avoided the stratified and frontal areas. The present results also suggested that prespawning aggregations of herring followed the movements of zooplankton to deeper and cooler waters beneath the thermocline during summer. Waters with specific salinity and temperature properties are attractive to herring due to the process of frontal mixing which enhances primary and secondary production. These waters are ultimately linked with the Slope Current which is responsible for the advection of warm, nutrient-rich, saline water into the North Sea ecosystem.",English,Article,"All Open Access, Bronze",Scopus,K,North Sea - CS,">100,000",two week,"1,000-5,000",NA,Active Acoustic Sampling Survey,GAM,3,1,2,NA,NA,Clupea harengus,adults,Plankton,Biomass,Biomass as determined by haul-validated acoustic survey,Overall positive response,Large,NA,FOOD
12,n3_sco.582,n_sco.582,"Maravelias C.D., Reid D.G.",Identifying the effects of oceanographic features and zooplankton on prespawning herring abundance using generalized additive models,1997,Marine Ecology Progress Series,147,1-Mar,1,9,10.3354/meps147001,NA,"Spatial distribution patterns of prespawning herring were analyzed in relation to zooplankton biomass, sea-surface temperature and salinity, temperature and depth of the thermocline (fronts) and the temperature difference between surface and bottom water. Data were collected in midsummer 1995 during the ICES coordinated herring acoustic survey of the ICES Division IVa. We used generalized additive models (GAMs), nonparametric generalization of multiple linear regression, to test the hypothesis that prespawning herring distribution is related to zooplankton availability and the oceanography around the Shetland Islands (UK), with particular reference to inflows from the Slope Current. The results of this study supported this hypothesis. We found that zooplankton biomass and the location of ocean fronts influence the distribution of prespawning herring. Mean herring abundance was consistently highest in areas having a surface salinity of 35.1 ppt and where the zooplankton abundances were higher. Results indicated that herring appeared to prefer the well-mixed waters and transition zones and avoided the stratified and frontal areas. The present results also suggested that prespawning aggregations of herring followed the movements of zooplankton to deeper and cooler waters beneath the thermocline during summer. Waters with specific salinity and temperature properties are attractive to herring due to the process of frontal mixing which enhances primary and secondary production. These waters are ultimately linked with the Slope Current which is responsible for the advection of warm, nutrient-rich, saline water into the North Sea ecosystem.",English,Article,"All Open Access, Bronze",Scopus,K,North Sea - CS,">100,000",two week,"1,000-5,000",NA,Active Acoustic Sampling Survey,GAM,3,1,2,NA,NA,Clupea harengus,adults,Salinity,Biomass,Biomass as determined by haul-validated acoustic survey,Optimal-type response,Medium,NA,CLIMATE & OCEANOGRAPHY
13,n3_sco.582,n_sco.582,"Maravelias C.D., Reid D.G.",Identifying the effects of oceanographic features and zooplankton on prespawning herring abundance using generalized additive models,1997,Marine Ecology Progress Series,147,1-Mar,1,9,10.3354/meps147001,NA,"Spatial distribution patterns of prespawning herring were analyzed in relation to zooplankton biomass, sea-surface temperature and salinity, temperature and depth of the thermocline (fronts) and the temperature difference between surface and bottom water. Data were collected in midsummer 1995 during the ICES coordinated herring acoustic survey of the ICES Division IVa. We used generalized additive models (GAMs), nonparametric generalization of multiple linear regression, to test the hypothesis that prespawning herring distribution is related to zooplankton availability and the oceanography around the Shetland Islands (UK), with particular reference to inflows from the Slope Current. The results of this study supported this hypothesis. We found that zooplankton biomass and the location of ocean fronts influence the distribution of prespawning herring. Mean herring abundance was consistently highest in areas having a surface salinity of 35.1 ppt and where the zooplankton abundances were higher. Results indicated that herring appeared to prefer the well-mixed waters and transition zones and avoided the stratified and frontal areas. The present results also suggested that prespawning aggregations of herring followed the movements of zooplankton to deeper and cooler waters beneath the thermocline during summer. Waters with specific salinity and temperature properties are attractive to herring due to the process of frontal mixing which enhances primary and secondary production. These waters are ultimately linked with the Slope Current which is responsible for the advection of warm, nutrient-rich, saline water into the North Sea ecosystem.",English,Article,"All Open Access, Bronze",Scopus,K,North Sea - CS,">100,000",two week,"1,000-5,000",NA,Active Acoustic Sampling Survey,GAM,3,1,2,NA,NA,Clupea harengus,adults,Temperature,Biomass,Biomass as determined by haul-validated acoustic survey,Optimal-type response,Medium,Temperature and temperature at 60m both acted as a main effect and as an interaction with zooplankton abundance.,TEMPERATURE
