"","SW.ID","Year","Region","Scale...Spatial..m.","Scale...Temporal","Resolution...Spatial..m.","Resolution...Temporal","Sampling.Method.used.for.data.collection","Description.Other.Sampling.Method","Analytical.method.used.for.inference","Quality...Spatial..relative.1.3.","Quality...Temporal","Quality...Methods","WP4.task","Study.type","Ecosystem.component_level1","Ecosystem.component_level2","Ecosystem.component_level3","Ecosystem.component_benthos_sediment","Species.taxonomic.group.s.","Pressure.type","Pressure_level","Pressure_variable","Pressure_other","Fishery.type","Gear_level1","Gear_level2","Target.species_metier","Response.variable_paper","Response.variable_category","Direction.of.relationship","Reader","ROWID"
"1","SW4_0728",2015,"CS - North Sea",">100,000","five year","50,000-100,000","month","Simulated dynamics",NA,"FishRent",3,3,3,"None","Modelling/simulation","Fish_teleost","Demersal",NA,NA,"Gadus morhua _ Pollachius virens","Catch_and_bycatch","Target","Fishing days _ fishery's behaviour","Stock overlap","Commercial","Demersal trawls",NA,"saithe fishery","Spawning stock biomass _ Fleet effort _ Economic profit","Abundance/biomass/density","Negative","Altuna-Etxabe",1
"2","SW4_1020",2012,"CS - North Sea","1,000-5,000","year","100-500","subday","Data Storage, GPS, Acoustic Taggin",NA,"Simple logistic regression models _ multiple logistic regression models",3,3,3,"4.4","Field experiment","Fish_teleost","Demersal",NA,NA,"Gadus morhua ","Catch_and_bycatch","Target","Catch","biological parameters (stock characteristics) _ vertical migration _ horizontal migration","Commercial","Nets","Gillnet","Gadus morhua ","Fish and fishery overlap","Behaviour","Negative","Altuna-Etxabe",2
"3","SW4_1020",2012,"CS - North Sea","1,000-5,000","year","100-500","subday","Data Storage, GPS, Acoustic Taggin",NA,"Simple logistic regression models _ multiple logistic regression models",3,3,3,"4.4","Field experiment","Fish_teleost","Demersal",NA,NA,"Gadus morhua ","Catch_and_bycatch","Target","Catch","biological parameters (stock characteristics) _ vertical migration _ horizontal migration","Commercial","Pots",NA,"Gadus morhua ","Fish and fishery overlap","Behaviour","Negative","Altuna-Etxabe",3
"4","SW4_1020",2012,"CS - North Sea","1,000-5,000","year","100-500","subday","Data Storage, GPS, Acoustic Taggin",NA,"Simple logistic regression models _ multiple logistic regression models",3,3,3,"4.4","Field experiment","Fish_teleost","Demersal",NA,NA,"Gadus morhua ","Catch_and_bycatch","Target","Catch","biological parameters (stock characteristics) _ vertical migration _ horizontal migration","Recreational","Hooks_and_lines","Handline","Gadus morhua ","Fish and fishery overlap","Behaviour","Negative","Altuna-Etxabe",4
"5","SW4_1042",2012,"CS - North Sea",">100,000","five year","50,000-100,000","week","Fisheries Dependent Data",NA,"GAM _ YpR model",3,3,3,"None","Modelling/simulation","Fish_teleost","Flatfish",NA,NA,"Solea solea _ Pleuronectes platessa _ Scophthalmus maximus _ Scophthalmus rhombus","Catch_and_bycatch","Target","Spawning closures for plaice, sole, and place and sole combined.","Revenue","Commercial","Demersal trawls","Beam trawl","Flatfish fishery","stock status (spawning stock biomass)","Abundance/biomass/density","Multiple","Altuna-Etxabe",5
"6","SW4_1042",2012,"CS - North Sea",">100,000","five year","50,000-100,000","week","Fisheries Dependent Data",NA,"GAM _ YpR model",3,3,3,"None","Modelling/simulation","Fish_teleost","Demersal",NA,NA,"Gadus morhua ","Catch_and_bycatch","Bycatch","Spawning closures for plaice, sole, and place and sole combined.","Revenue","Commercial","Demersal trawls","Beam trawl","Flatfish fishery","stock status (spawning stock biomass)","Abundance/biomass/density","Multiple","Altuna-Etxabe",6
"7","SW4_1042",2012,"CS - North Sea",">100,000","five year","50,000-100,000","week","Fisheries Dependent Data",NA,"GAM _ YpR model",3,3,3,"None","Modelling/simulation","Fish_cartilaginous",NA,NA,NA,"Unknown","Catch_and_bycatch","Bycatch","Spawning closures for plaice, sole, and place and sole combined.","Revenue","Commercial","Demersal trawls","Beam trawl","Flatfish fishery","stock status (spawning stock biomass)","Abundance/biomass/density","Multiple","Altuna-Etxabe",7
"8","SW4_1042",2012,"CS - North Sea",">100,000","five year","50,000-100,000","week","Fisheries Dependent Data",NA,"GAM _ YpR model",3,3,3,"None","Modelling/simulation","Benthos",NA,NA,"Unknown","Unknown","Catch_and_bycatch","Bycatch","Spawning closures for plaice, sole, and place and sole combined.","Revenue","Commercial","Demersal trawls","Beam trawl","Flatfish fishery","stock status (spawning stock biomass)","Abundance/biomass/density","Multiple","Altuna-Etxabe",8
"9","SW4_1136",2011,"CS - Mediterranean",">100,000","decade",">100,000","quarter","Regular Fisheries Independent Survey",NA,"GADGET",2,2,3,"None","Modelling/simulation","Fish_teleost","Demersal",NA,NA,"Merluccius merluccius ","Catch_and_bycatch","Target","close nursery areas","Biolobical parameters (e.g. growth parameters, recruitment)","Commercial","Demersal trawls",NA,"Merluccius merluccius ","Biomass","Abundance/biomass/density","Positive","Altuna-Etxabe",9
"10","SW4_1136",2011,"CS - Mediterranean",">100,000","decade",">100,000","quarter","Fisheries Dependent Data",NA,"GADGET",2,2,3,"None","Modelling/simulation","Fish_teleost","Demersal",NA,NA,"Merluccius merluccius ","Catch_and_bycatch","Target","close nursery areas","Biolobical parameters (e.g. growth parameters, recruitment)","Commercial","Demersal trawls",NA,"Merluccius merluccius ","Biomass","Abundance/biomass/density","Positive","Altuna-Etxabe",10
"11","SW4_1136",2011,"CS - Mediterranean",">100,000","decade",">100,000","quarter","Regular Fisheries Independent Survey",NA,"GADGET",2,2,3,"None","Modelling/simulation","Fish_teleost","Demersal",NA,NA,"Merluccius merluccius ","Catch_and_bycatch","Target","close nursery areas","Biolobical parameters (e.g. growth parameters, recruitment)","Commercial","Nets","Gillnet","Merluccius merluccius ","Biomass","Abundance/biomass/density","Positive","Altuna-Etxabe",11
