interaction_type,AC,poll_question,user_id,where,who,gender,poll_option_orig,poll_option_recoded_close_to_original,poll_option_recoded_lower_resolution,poll_option_interpretation_recoding,impacts_on_item_of_column_I,system,WP2,WP3,WP4,WP5,WP6,nr_WPs,duplicated_in_col-J_poll_option_recoded_lower_resolution,,Row_number,Row_static
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,shrimps,shrimps,,,haddock,ecological,0,1,1,0,1,3,,,1,1
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,haddock,haddock,,,"hake/predatory fish, benthos/shrimps",ecological,0,1,1,0,1,3,,,2,2
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,hake,hake,,,"porpoise, haddock",ecological,0,1,1,0,1,3,,,3,3
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,porpoise,porpoise,,,"hake/predatory fish, benthos/shrimps",ecological,0,0,1,0,1,2,,,4,4
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,small vessels,small-scale fisheries,,,,fisheries,1,0,0,0,1,2,,,5,5
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,large vessels,large-scale fisheries,,,,fisheries,1,0,0,0,1,2,,,6,6
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,beamtrawlers,beam trawl fisheries,fishing gear,,,fisheries,1,0,0,0,1,2,,,7,7
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,How do species interactions affect the performance of harvest control rules in the North Sea?,species interactions,,,Harvest control rule performance,ecological,0,1,1,1,1,4,,,8,8
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,How do species interactions affect the performance of harvest control rules in the North Sea?,harvest control rules,,,,social,1,0,0,0,1,2,,,9,9
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,"How do changes in spatial distribution impact these interactions, and subsequently fisheries management? ",distribution,fish distribution,,"species interactions, Harvest control rule performance",ecological,0,1,0,1,1,3,,,10,10
individual,kickoff,NA,NSSCI01,North_Sea,Scientist,Man,"How do changes in spatial distribution impact these interactions, and subsequently fisheries management? ",management,,,,social,1,0,0,0,1,2,,,11,11
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,litter,litter,,,,ecological,0,0,1,0,1,2,,,12,12
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,large vessels,large-scale fisheries,,,,fisheries,1,0,0,0,1,2,,,13,13
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,small vessels,small-scale fisheries,,,,fisheries,1,0,0,0,1,2,,,14,14
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,jobs,employment,jobs,,,social,1,0,0,0,1,2,,,15,15
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,MPAs,MPAs,,,,social,1,0,0,1,1,3,,,16,16
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,windfarms,windfarms,,,,social,0,0,0,1,1,2,,,17,17
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,benthic habitats,benthic habitats,seabottom habitat,,,ecological,0,0,1,1,1,3,,,18,18
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,nephrops,nephrops,,,,ecological,0,1,0,0,1,2,,,19,19
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,plaice,plaice,,,,ecological,0,1,0,0,1,2,,,20,20
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,haddock,haddock,,,,ecological,0,1,0,0,1,2,,,21,21
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,cod,cod,commercial fish/shellfish,,,ecological,0,1,0,0,1,2,,,22,22
individual,kickoff,NA,NSSCI02,North_Sea,Scientist,Man,herring,herring,,,,ecological,0,1,0,0,1,2,,,23,23
