"","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"1",236121,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=236121","Abramis ballerus","(Linnaeus, 1758)","unaccepted",NA,220,"Species",279859,"Ballerus ballerus","(Linnaeus, 1758)",154271,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Abramis","Froese, R. and D. Pauly. Editors. (2023). FishBase. Abramis ballerus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236121 on 2023-06-28","urn:lsid:marinespecies.org:taxname:236121",0,1,1,0,NA,"exact","2021-08-18T11:47:55.340Z"
"2",125618,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=125618","Acipenser","Linnaeus, 1758","accepted",NA,180,"Genus",125618,"Acipenser","Linnaeus, 1758",125424,"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Froese, R. and D. Pauly. Editors. (2023). FishBase. Acipenser Linnaeus, 1758. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125618 on 2023-06-28","urn:lsid:marinespecies.org:taxname:125618",1,1,1,0,NA,"exact","2014-12-02T12:48:54.943Z"
"3",154285,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=154285","Alburnus alburnus","(Linnaeus, 1758)","accepted",NA,220,"Species",154285,"Alburnus alburnus","(Linnaeus, 1758)",154284,"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Alburnus","Froese, R. and D. Pauly. Editors. (2023). FishBase. Alburnus alburnus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=154285 on 2023-06-28","urn:lsid:marinespecies.org:taxname:154285",0,1,1,0,NA,"exact","2017-08-07T08:04:19.623Z"
"4",137128,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137128","Alca torda","Linnaeus, 1758","accepted",NA,220,"Species",137128,"Alca torda","Linnaeus, 1758",137036,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","WoRMS (2023). Alca torda Linnaeus, 1758. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137128 on 2023-06-28","urn:lsid:marinespecies.org:taxname:137128",1,NA,NA,1,NA,"exact","2011-04-08T06:18:06.150Z"
"5",125507,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=125507","Alepocephalidae","Bonaparte, 1846","accepted",NA,140,"Family",125507,"Alepocephalidae","Bonaparte, 1846",1517449,"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae",NA,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Alepocephalidae Bonaparte, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125507 on 2023-06-28","urn:lsid:marinespecies.org:taxname:125507",1,NA,NA,0,NA,"exact","2021-06-30T07:32:20.150Z"
"6",126682,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126682","Alepocephalus bairdii","Goode & Bean, 1879","accepted",NA,220,"Species",126682,"Alepocephalus bairdii","Goode & Bean, 1879",125868,"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Froese, R. and D. Pauly. Editors. (2023). FishBase. Alepocephalus bairdii Goode & Bean, 1879. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126682 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126682",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"7",126684,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=126684","Alepocephalus rostratus","Risso, 1820","accepted",NA,220,"Species",126684,"Alepocephalus rostratus","Risso, 1820",125868,"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Froese, R. and D. Pauly. Editors. (2023). FishBase. Alepocephalus rostratus Risso, 1820. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126684 on 2023-06-28","urn:lsid:marinespecies.org:taxname:126684",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"8",137129,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=137129","Alle alle","(Linnaeus, 1758)","accepted",NA,220,"Species",137129,"Alle alle","(Linnaeus, 1758)",137037,"Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alle","WoRMS (2023). Alle alle (Linnaeus, 1758). Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137129 on 2023-06-28","urn:lsid:marinespecies.org:taxname:137129",1,NA,NA,1,NA,"exact","2011-04-08T06:18:06.150Z"
"9",220019,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=220019","Alopias pelagicus","Nakamura, 1935","accepted",NA,220,"Species",220019,"Alopias pelagicus","Nakamura, 1935",105740,"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Froese, R. and D. Pauly. Editors. (2023). FishBase. Alopias pelagicus Nakamura, 1935. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=220019 on 2023-06-28","urn:lsid:marinespecies.org:taxname:220019",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"10",105835,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=105835","Alopias superciliosus","Lowe, 1841","accepted",NA,220,"Species",105835,"Alopias superciliosus","Lowe, 1841",105740,"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Froese, R. and D. Pauly. Editors. (2023). FishBase. Alopias superciliosus Lowe, 1841. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=105835 on 2023-06-28","urn:lsid:marinespecies.org:taxname:105835",1,0,0,0,NA,"exact","2010-05-06T12:14:18.327Z"
