"Abundance/biomass/density";"Behaviour";"Biodiversity";"Community composition";"Damage & entanglement";"Growth";"Mortality";"Other";"Physiology";"Production/productivity";"Reproduction";"Sediment & physical properties";"Size/age structure";"Survival";"Trophic structure"
"Active Acoustic Sampling Survey";3;1;0;2;2;0;0;0;1;0;0;6;0;0;0
"Behavioural observations";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"Behavioural Observations";7;14;0;0;2;0;5;0;9;0;0;0;0;4;0
"Data Storage, GPS, Acoustic Tagging";1;9;0;1;0;0;6;0;1;0;0;2;0;0;0
"Fisheries Dependent Data";198;5;13;21;17;6;64;6;0;19;5;17;50;21;41
"In situ structural growth";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Interview/questionnaire";17;1;0;0;1;0;9;0;0;10;0;0;1;1;0
"Irregular Fisheries Independent Survey";184;10;61;72;9;7;27;1;12;13;1;33;25;5;49
"Mark Recapture";4;0;0;0;0;0;1;0;0;0;0;0;0;3;0
"Other";22;0;9;2;3;1;13;0;1;0;5;0;1;0;7
"Physiological Growth Indicators";0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
"Regular Fisheries Independent Survey";129;10;45;44;8;2;16;0;2;1;7;3;39;7;26
"Simulated dynamics";76;0;5;1;0;0;11;1;0;8;0;6;1;4;19
"Stomach Contents Analyses";3;1;0;2;0;0;0;0;0;0;0;0;0;0;23
"Strandings";2;0;0;1;0;0;11;0;0;0;0;0;0;2;0
"Visual Analyses of Quadrats/Transects";61;8;14;17;14;3;1;0;5;0;2;9;7;2;10
