"Species.taxonomic.group.s.","Region","Ecosystem.component_level1"
"Dasyatis pastinaca","CS - Mediterranean","Fish_cartilaginous"
"Etmopterus spinax","Mediterranean - non CS","Fish_cartilaginous"
"Galeorhinus galeus","NE-Atlantic","Fish_cartilaginous"
"Galeus melastomus","CS - Western Waters, Mediterranean - non CS","Fish_cartilaginous"
"Lamna nasus","CS - Western Waters","Fish_cartilaginous"
"Mustelus asterias","Mediterranean - non CS, NE-Atlantic","Fish_cartilaginous"
"Mustelus mustelus","Mediterranean - non CS","Fish_cartilaginous"
"Raja clavata","Black Sea, CS - Mediterranean, CS - North Sea, CS - Western Waters, Mediterranean - non CS","Fish_cartilaginous"
"Raja montagui","CS - Western Waters","Fish_cartilaginous"
"Scyliorhinus canicula","CS - Western Waters, Mediterranean - non CS, NE-Atlantic","Fish_cartilaginous"
"Squalus acanthias","Black Sea, CS - North Sea, CS - Western Waters, NE-Atlantic","Fish_cartilaginous"
"Torpedo marmorata","CS - Mediterranean, Mediterranean - non CS","Fish_cartilaginous"
"Anarhichas lupus","CS - North Sea","Fish_teleost"
"Coregonus albula","Baltic Sea - non CS","Fish_teleost"
"Dicentrarchus labrax","Mediterranean - non CS","Fish_teleost"
"Diplodus annularis","CS - Mediterranean","Fish_teleost"
"Gadus morhua","CS - Baltic Sea, CS - North Sea, CS - Western Waters, North Sea - non CS","Fish_teleost"
"Lepidopus caudatus","Mediterranean - non CS","Fish_teleost"
"Merlangius merlangus","CS - North Sea","Fish_teleost"
"Molva molva","CS - Western Waters","Fish_teleost"
"Mora moro","Mediterranean - non CS","Fish_teleost"
"Pagellus acarne","CS - Mediterranean","Fish_teleost"
"Pagellus bogaraveo","CS - Western Waters","Fish_teleost"
"Pollachius pollachius","North Sea - non CS","Fish_teleost"
"Pomatomus saltatrix","Mediterranean - non CS","Fish_teleost"
"Delphinus delphis","Black Sea, CS - Mediterranean, CS - Western Waters, Mediterranean - non CS, Western Waters - non CS","Marine_mammals"
"Globicephala melas","CS - Western Waters","Marine_mammals"
"Grampus griseus","CS - Mediterranean","Marine_mammals"
"Halichoerus grypus","CS - Baltic Sea, CS - Western Waters","Marine_mammals"
"Monachus monachus","CS - Mediterranean","Marine_mammals"
"Orcinus orca","Mediterranean - non CS","Marine_mammals"
"Phoca vitulina","CS - Baltic Sea","Marine_mammals"
"Phocoena phocoena","Baltic Sea - non CS, Black Sea, CS - Baltic Sea, CS - Mediterranean, CS - North Sea, CS - Western Waters, North Sea - non CS","Marine_mammals"
"Stenella coeruleoalba","CS - Mediterranean, CS - Western Waters, Mediterranean - non CS","Marine_mammals"
"Tursiops truncatus","CS - Mediterranean, Mediterranean - non CS","Marine_mammals"
"Caretta caretta","CS - Mediterranean, Mediterranean - non CS","Reptiles"
"Chelonia mydas","CS - Mediterranean, Mediterranean - non CS","Reptiles"
"Dermochelys coriacea","CS - Mediterranean","Reptiles"
"Aythya marila","CS - Baltic Sea","Seabirds"
"Calonectris diomedea","CS - Mediterranean, Mediterranean - non CS","Seabirds"
"Cepphus grylle","Barents Sea","Seabirds"
"Clangula hyemalis","CS - Baltic Sea","Seabirds"
"Fulmarus glacialis","Barents Sea","Seabirds"
"Larus audouinii","CS - Mediterranean, Mediterranean - non CS","Seabirds"
"Larus fuscus","CS - North Sea","Seabirds"
"Melanitta fusca","CS - Baltic Sea","Seabirds"
"Phalacrocorax carbo","CS - Baltic Sea","Seabirds"
"Puffinus yelkouan","CS - Mediterranean","Seabirds"
