Species.taxonomic.group.s.;Region;Ecosystem.component_level1
Algae;Mediterranean - non CS;Benthos
Anthozoa;CS - Mediterranean;Benthos
Asterias rubens;NE-Atlantic;Benthos
Bivalvia;Mediterranean - non CS;Benthos
Bivalvia;CS - Mediterranean;Benthos
Bryozoa;Mediterranean - non CS;Benthos
Calcarea;CS - Mediterranean;Benthos
Cancer pagurus;NE-Atlantic;Benthos
Carcinus maenas;NE-Atlantic;Benthos
Chionoecetes opilio;Barents Sea;Benthos
Cnidaria;Mediterranean - non CS;Benthos
Corallium rubrum;Mediterranean - non CS;Benthos
Crustacea;Mediterranean - non CS;Benthos
Dendrophyllia cronigera;Mediterranean - non CS;Benthos
Echinodermata;Mediterranean - non CS;Benthos
Eunicella cavolinii;Mediterranean - non CS;Benthos
Fouling epifauna on litter;Mediterranean - non CS;Benthos
Gastropoda;CS - Mediterranean;Benthos
Globothalamea;CS - Mediterranean;Benthos
Gorgonian;Mediterranean - non CS;Benthos
Gymnolaemata;CS - Mediterranean;Benthos
Hexanauplia;CS - Mediterranean;Benthos
Hydrozoa;CS - Mediterranean;Benthos
Hydrozoa;Mediterranean - non CS;Benthos
Liocarcinus depurator;NE-Atlantic;Benthos
Lophelia pertusa;CS - Mediterranean, Mediterranean - non CS;Benthos
Madrepora oculata;CS - Mediterranean, Mediterranean - non CS;Benthos
Mollusca;Black Sea;Benthos
Nephrops novegicus;NE-Atlantic;Benthos
Polychaeta;CS - Mediterranean;Benthos
Polychaeta;Mediterranean - non CS;Benthos
Porifera;Mediterranean - non CS;Benthos
Scleractinian;Mediterranean - non CS;Benthos
Sponges;Mediterranean - non CS;Benthos
Stenolaemata;CS - Mediterranean;Benthos
Octopus vulgaris;Mediterranean - non CS;Cephalopods
Raja clavata;Mediterranean - non CS;Fish_cartilaginous
Lophius budegassa;CS - Western Waters;Fish_teleost
Lophius piscatorius;CS - Western Waters;Fish_teleost
Merlangius merlangus euxinus;Black Sea;Fish_teleost
Physeter macrocephalus;Mediterranean - non CS;Marine_mammals
Tursiops truncata;CS - Mediterranean;Marine_mammals
Megafauna of submarine canyons;Mediterranean - non CS;Physical_habitats
Seafloor;CS - North Sea, CS - Western Waters, Mediterranean - non CS;Physical_habitats
Protozoa;Mediterranean - non CS;Plankton
Macrophyta;Mediterranean - non CS;Plants
Caretta caretta;CS - Mediterranean, Mediterranean - non CS;Reptiles
