Spec;Taxon
polychaetes;polychaeta
diving ducks;mergini
benthoctopus spp.;benthoctopus spp.
chondrocladia gigantean;chondrocladia gigantea
elasmobranchs;elasmobranchii
teleosts excluding pleuronectiformes;teleostei
raja spp.;raja
benthic communities;Benthos
fish assemblages;Fish
macrofauna;Benthos
seafloor;Habitat
mainly crustaceans;crustacea
macrobenthos;Benthos
megabenthic species;Benthic community
crustaceans (liocarcinus depurator, medorippe lanata, goneplax rhomboides);crustacea
infauna;Benthos_infauna
scallops p. maximus;pecten maximus
epibenthic communities;Benthos_epifauna
benthic epifauna;Benthos_epifauna
demersal fish;Benthic fish
nematodes;nematoda
sharks;selachii
squid;cephalopoda
whelks;buccinoidea
short-beaked common dolphin (delphinus delphis);delphinus delphis
redfish (sebastes spp.);sebastes spp
red king crab (paralithodes camtschaticus);paralithodes camtschaticus
benthic invertebrate community;Benthos
undersized target species (chamelea gallina);chamelea gallina
benthic invertebrates;Benthos
molluscs (infaunal and epifaunal);mollusca
benthic community;Benthos
scallop (pecten maximus);pecten maximus
macrobenthic communities;Benthos
dab (limanda limanda);limanda limanda
striped venus clam chamelea gallina;chamelea gallina
rays;raja
numerous sensitve fish species;Fish
lesser black-backed gull (larus fuscus);larus fuscus
mackerel (scomber scombrus);scomber scombrus
small pelagics;Pelagic Fish
demersal fishes;Benthic fish
lophius spp.;lophius
mullus spp.;mullus
conger sp.;conger
flatfishes;Benthic Fish
dolphins;Delphinidae
marine turtles;Chelonioidea
metazoan meiofauna;Benthos
full fish community;Fish
stenella coereuleoalba;stenella coeruleoalba
decapods;decapoda
gorgonian;Alcyonacea
phalacrocorax aristotelis desmarestii;Gulosus aristotelis
sponges;porifera
bivalves;bivalvia
benthic macroinvertebrate;Benthos
elasmobranch;elasmobranchii
nephrops novegicus;nephrops norvegicus
percarid crustaceans;peracarida
lophelia reefs;lophelia pertusa
benthic invertebrate ectotherms;Benthos
habitat: sediment;Habitat
benthic habitat;Habitat
fishery for (but not testing any effect on) solea solea;Unknown
megabenthos;Benthos
mulletus barbatus;mullus barbatus
lithognatus mormyrus;lithognathus mormyrus
large piscivores;Fish
large fish feeders;Fish
crustacean feeders;Fish
gorgonians;Alcyonacea
pennatulids;Pennatulidae
groupers;Epinephelinae
holoturian;Holothuroidea
calonectris diomedia;calonectris diomedea
megafauna of submarine canyons;Benthos
mullus spp;mullus
pelagic;Pelagic Fish
several benthic taxa;Benthos
other species;Unknown
fish;Fish
crabs;Brachyura
sand;Habitat
carnivore and scavenge feeding benthos;Benthos
elasmobranches;elasmobranchii
fish with complex life histories;Fish
benthos;Benthos
algae;Algae
epinephelus spec;Epinephelus
fish teleost;Teleostei
pagellus arcane;Pagellus acarne
echinos spec;echinus
epifauna;Benthos_epifauna
crustaceans;crustacea
molluscs;mollusca
macropodia spp.;macropodia
l. saccharina;Saccharina latissima
maerl;rhodolith
