SW.ID;SearchID;Authors;Title;Year;Source.title;Volume;Issue;Page.start;Page.end;DOI;Link;Abstract;Language;Document.Type;Open.Access;Database;Exclusion.Criteria;Region;Scale...Spatial..m.;Scale...Temporal;Resolution...Spatial..m.;Resolution...Temporal;Sampling.Method.used.for.data.collection;Description.Other.Sampling.Method;Analytical.method.used.for.inference;Quality...Spatial..relative.1.3.;Quality...Temporal;Quality...Methods;Concluding.statement.or.quotable.quote;Comments;WP4.task;Study.type;Ecosystem.component_level1;Ecosystem.component_level2;Ecosystem.component_level3;Ecosystem.component_benthos_sediment;Species.taxonomic.group.s.;Pressure.type;Pressure_level;Pressure_variable;Pressure_other;Fishery.type;Gear_level1;Gear_level2;Target.species_metier;Response.variable_paper;Response.variable_category;Direction.of.relationship;Magnitude.of.relationship;Reader
SW4_0728;E4;Simons S.L., Döring R., Temming A.;Modelling fishers' response to discard prevention strategies: The case of the North Sea saithe fishery;2015;ICES Journal of Marine Science;72;5;1530;1544;10.1093/icesjms/fsu229;;Designing effective management plans requires understanding fishers' behaviour under that plan, because fishers change their behaviour in response to economic and management incentives, which in turn will lead to different fishery outcomes. This study presents a modelling framework for management strategy evaluations which takes into account the response of fishers to management schemes. Based on the upcoming discard ban, two discard prevention strategies were tested for the North Sea saithe fishery, where fleet segments have either no or a generally low quota for cod. Costs and benefits were assessed under the current management, a non-flexible system, where fleet segments had to stop fishing once the cod quota was reached and a flexible system where quota of saithe could be used to cover over-quota catch of cod at a ratio 1:5. The flexible scenario was beneficial both in protecting the North Sea saithe and cod stock and in increasing net profits of fleet segments in the long term. The avoidance behaviour of fleet segments to over-quota catch led to a high SSB level of saithe and cod in the long term, ensuring high long-term catches and profits. A non-flexible scenario had a negative impact on the saithe stock, because mainly juvenile saithe before spawning were caught reducing the spawning-stock biomass in the longer term. A non-flexible scenario was costly in terms of up to 29% lower net profits for individual fleet segments generating little economic incentive to be compliant. © 2014 International Council for the Exploration of the Sea 2014. All rights reserved. For Permissions, please email: journals.permissions@oup.com.;English;Article;All Open Access, Bronze;Scopus;NA;CS - North Sea;>100,000;five year;50,000-100,000;month;Simulated dynamics;NA;FishRent;3;3;3;NA;Profit is the main driver of fishers’ behaviour and the aim of the fishery dynamic is to maximize the annual profit for the entire fleet.;None;Modelling/simulation;Fish_teleost;Demersal;NA;NA;Gadus morhua _ Pollachius virens;Discarding;NA;Fishing days _ fishery's behaviour;Stock overlap;Commercial;Demersal_trawls;NA;saithe fishery;Spawning stock biomass _ Fleet effort _ Economic profit;Abundance/biomass/density;Negative;strong relationship;Altuna-Etxabe
SW4_1020;E4;Olsen E.M., Heupel M.R., Simpfendorfer C.A., Moland E.;Harvest selection on Atlantic cod behavioral traits: Implications for spatial management;2012;Ecology and Evolution;2;7;1549;1562;10.1002/ece3.244;;Harvesting wild populations may contrast or reinforce natural agents of selection and potentially cause evolutionary changes in life-history traits such as growth and maturation. Harvest selection may also act on behavioral traits, although this field of research has so far received less attention. We used acoustic tags and a network of receivers to monitor the behavior and fate of individual Atlantic cod (Gadus morhua, N = 60) in their natural habitat on the Norwegian Skagerrak coast. Fish with a strong diel vertical migration, alternating between shallow- and deep-water habitats, had a higher risk of being captured in the fishery (traps, gillnet, hand line) as compared to fish that stayed in deeper water. There was also a significant negative correlation between fish size (30-66 cm) and the magnitude of diel vertical migration.Natural selection on behavior was less clear, but tended to favor fish with a large activity space. On a monthly time scale we found significant repeatabilities for cod behavior, meaning that individual characteristics tended to persist and thereforemay be termed personality traits.We argue that an evolutionary approach to fisheries management should consider fish behavior. This would be of particular relevance for spatial management actions such as marine reserve design. © 2012 The Authors. Ecology and Evolution published by Blackwell Publishing Ltd.;English;Article;All Open Access, Gold, Green;Scopus;NA;CS - North Sea;1,000-5,000;year;100-500;subday;Data Storage, GPS, Acoustic Taggin;NA;Simple logistic regression models _ multiple logistic regression models;3;3;3;NA;NA;4.4;Field experiment;Fish_teleost;Demersal;NA;NA;Gadus morhua ;Catch_and_bycatch;Target;Catch;biological parameters (stock characteristics) _ vertical migration _ horizontal migration;Commercial;Nets;Gillnet;Gadus morhua ;Fish and fishery overlap;Behaviour;Negative;(1) selection acted directly on both the behavior and the life history of this fish, and (2) the correlation between the behavior and life history acted to reduce the selection intensity.;Altuna-Etxabe
SW4_1020;E4;Olsen E.M., Heupel M.R., Simpfendorfer C.A., Moland E.;Harvest selection on Atlantic cod behavioral traits: Implications for spatial management;2012;Ecology and Evolution;2;7;1549;1562;10.1002/ece3.244;;Harvesting wild populations may contrast or reinforce natural agents of selection and potentially cause evolutionary changes in life-history traits such as growth and maturation. Harvest selection may also act on behavioral traits, although this field of research has so far received less attention. We used acoustic tags and a network of receivers to monitor the behavior and fate of individual Atlantic cod (Gadus morhua, N = 60) in their natural habitat on the Norwegian Skagerrak coast. Fish with a strong diel vertical migration, alternating between shallow- and deep-water habitats, had a higher risk of being captured in the fishery (traps, gillnet, hand line) as compared to fish that stayed in deeper water. There was also a significant negative correlation between fish size (30-66 cm) and the magnitude of diel vertical migration.Natural selection on behavior was less clear, but tended to favor fish with a large activity space. On a monthly time scale we found significant repeatabilities for cod behavior, meaning that individual characteristics tended to persist and thereforemay be termed personality traits.We argue that an evolutionary approach to fisheries management should consider fish behavior. This would be of particular relevance for spatial management actions such as marine reserve design. © 2012 The Authors. Ecology and Evolution published by Blackwell Publishing Ltd.;English;Article;All Open Access, Gold, Green;Scopus;NA;CS - North Sea;1,000-5,000;year;100-500;subday;Data Storage, GPS, Acoustic Taggin;NA;Simple logistic regression models _ multiple logistic regression models;3;3;3;NA;NA;4.4;Field experiment;Fish_teleost;Demersal;NA;NA;Gadus morhua ;Catch_and_bycatch;Target;Catch;biological parameters (stock characteristics) _ vertical migration _ horizontal migration;Commercial;Pots;NA;Gadus morhua ;Fish and fishery overlap;Behaviour;Negative;(1) selection acted directly on both the behavior and the life history of this fish, and (2) the correlation between the behavior and life history acted to reduce the selection intensity.;Altuna-Etxabe
SW4_1020;E4;Olsen E.M., Heupel M.R., Simpfendorfer C.A., Moland E.;Harvest selection on Atlantic cod behavioral traits: Implications for spatial management;2012;Ecology and Evolution;2;7;1549;1562;10.1002/ece3.244;;Harvesting wild populations may contrast or reinforce natural agents of selection and potentially cause evolutionary changes in life-history traits such as growth and maturation. Harvest selection may also act on behavioral traits, although this field of research has so far received less attention. We used acoustic tags and a network of receivers to monitor the behavior and fate of individual Atlantic cod (Gadus morhua, N = 60) in their natural habitat on the Norwegian Skagerrak coast. Fish with a strong diel vertical migration, alternating between shallow- and deep-water habitats, had a higher risk of being captured in the fishery (traps, gillnet, hand line) as compared to fish that stayed in deeper water. There was also a significant negative correlation between fish size (30-66 cm) and the magnitude of diel vertical migration.Natural selection on behavior was less clear, but tended to favor fish with a large activity space. On a monthly time scale we found significant repeatabilities for cod behavior, meaning that individual characteristics tended to persist and thereforemay be termed personality traits.We argue that an evolutionary approach to fisheries management should consider fish behavior. This would be of particular relevance for spatial management actions such as marine reserve design. © 2012 The Authors. Ecology and Evolution published by Blackwell Publishing Ltd.;English;Article;All Open Access, Gold, Green;Scopus;NA;CS - North Sea;1,000-5,000;year;100-500;subday;Data Storage, GPS, Acoustic Taggin;NA;Simple logistic regression models _ multiple logistic regression models;3;3;3;NA;NA;4.4;Field experiment;Fish_teleost;Demersal;NA;NA;Gadus morhua ;Catch_and_bycatch;Target;Catch;biological parameters (stock characteristics) _ vertical migration _ horizontal migration;Recreational;Hooks_and_lines;Handline;Gadus morhua ;Fish and fishery overlap;Behaviour;Negative;(1) selection acted directly on both the behavior and the life history of this fish, and (2) the correlation between the behavior and life history acted to reduce the selection intensity.;Altuna-Etxabe
SW4_1042;E4;Rijnsdorp A.D., Van Overzee H.M.J., Poos J.J.;Ecological and economic trade-offs in the management of mixed fisheries: A case study of spawning closures in flatfish fisheries;2012;Marine Ecology Progress Series;447;;179;194;10.3354/meps09519;;As a contribution to the ecosystem approach to fisheries management, we estimated the effects of spawning closures on stock status, ecosystem impacts and economic performance. We focused on the flatfish fishery in the North Sea and explored how spawning closures for plaice and sole contribute to sustainable management of 4 target species (sole, plaice, turbot and brill). Seasonal patterns in fishing effort and catchability by age group and area were estimated to quantify the effect of different spawning closure scenarios on the selection pattern. The scenario performance was evaluated using indicators of stock status (spawning stock biomass), economic performance of the fishery (yield, revenue) and ecosystem impact (discards, bycatch of cod and rays, seabed integrity, fisheries-induced evolution). In a single-species context, spawning closures may be beneficial for the target species, while in a mixed fisheries and ecosystem context, negative effects may occur. A spawning closure for plaice combines positive effects on the plaice stock and the revenue with reductions of the negative impact for several ecosystem indicators and only a small negative effect on sea bed integrity. The effects did not differ when evaluated at current levels of effort or at maximum sustainable yield (MSY) effort. Tailor-made solutions are required that need to be developed in stakeholder consultation to trade-off the ecological and economic objectives. Mixed-species MSY was lower than the sum of the single-species MSYs. © 2012 Inter-Research.;English;Article;All Open Access, Bronze;Scopus;NA;CS - North Sea;>100,000;five year;50,000-100,000;week;Fisheries Dependent Data;NA;GAM _ YpR model;3;3;3;NA;NA;None;Modelling/simulation;Fish_teleost;Flatfish;NA;NA;Solea solea _ Pleuronectes platessa _ Scophthalmus maximus _ Scophthalmus rhombus;Catch_and_bycatch;Target;Spawning closures for plaice, sole, and place and sole combined.;Revenue;Commercial;Demersal_trawls;Beam trawl;Flatfish fishery;stock status (spawning stock biomass);Abundance/biomass/density;Multiple;Spawning closure for plaice or a combined spawning closure for plaice and sole contributed positively to the SSB of plaice (SSB increase) and to the bycatch mortality of cod and rays (reducing discards), and contribute negatively to the SSB of sole (SSB decrease) and on the benthos. The spawning closure for sole results generally results in opposite effects. (the effect was low). ;Altuna-Etxabe
SW4_1042;E4;Rijnsdorp A.D., Van Overzee H.M.J., Poos J.J.;Ecological and economic trade-offs in the management of mixed fisheries: A case study of spawning closures in flatfish fisheries;2012;Marine Ecology Progress Series;447;;179;194;10.3354/meps09519;;As a contribution to the ecosystem approach to fisheries management, we estimated the effects of spawning closures on stock status, ecosystem impacts and economic performance. We focused on the flatfish fishery in the North Sea and explored how spawning closures for plaice and sole contribute to sustainable management of 4 target species (sole, plaice, turbot and brill). Seasonal patterns in fishing effort and catchability by age group and area were estimated to quantify the effect of different spawning closure scenarios on the selection pattern. The scenario performance was evaluated using indicators of stock status (spawning stock biomass), economic performance of the fishery (yield, revenue) and ecosystem impact (discards, bycatch of cod and rays, seabed integrity, fisheries-induced evolution). In a single-species context, spawning closures may be beneficial for the target species, while in a mixed fisheries and ecosystem context, negative effects may occur. A spawning closure for plaice combines positive effects on the plaice stock and the revenue with reductions of the negative impact for several ecosystem indicators and only a small negative effect on sea bed integrity. The effects did not differ when evaluated at current levels of effort or at maximum sustainable yield (MSY) effort. Tailor-made solutions are required that need to be developed in stakeholder consultation to trade-off the ecological and economic objectives. Mixed-species MSY was lower than the sum of the single-species MSYs. © 2012 Inter-Research.;English;Article;All Open Access, Bronze;Scopus;NA;CS - North Sea;>100,000;five year;50,000-100,000;week;Fisheries Dependent Data;NA;GAM _ YpR model;3;3;3;NA;NA;None;Modelling/simulation;Fish_teleost;Demersal;NA;NA;Gadus morhua ;Catch_and_bycatch;Bycatch;Spawning closures for plaice, sole, and place and sole combined.;Revenue;Commercial;Demersal_trawls;Beam trawl;Flatfish fishery;stock status (spawning stock biomass);Abundance/biomass/density;Multiple;Spawning closure for plaice or a combined spawning closure for plaice and sole contributed positively to the SSB of plaice (SSB increase) and to the bycatch mortality of cod and rays (reducing discards), and contribute negatively to the SSB of sole (SSB decrease) and on the benthos. The spawning closure for sole results generally results in opposite effects. (the effect was low). ;Altuna-Etxabe
SW4_1042;E4;Rijnsdorp A.D., Van Overzee H.M.J., Poos J.J.;Ecological and economic trade-offs in the management of mixed fisheries: A case study of spawning closures in flatfish fisheries;2012;Marine Ecology Progress Series;447;;179;194;10.3354/meps09519;;As a contribution to the ecosystem approach to fisheries management, we estimated the effects of spawning closures on stock status, ecosystem impacts and economic performance. We focused on the flatfish fishery in the North Sea and explored how spawning closures for plaice and sole contribute to sustainable management of 4 target species (sole, plaice, turbot and brill). Seasonal patterns in fishing effort and catchability by age group and area were estimated to quantify the effect of different spawning closure scenarios on the selection pattern. The scenario performance was evaluated using indicators of stock status (spawning stock biomass), economic performance of the fishery (yield, revenue) and ecosystem impact (discards, bycatch of cod and rays, seabed integrity, fisheries-induced evolution). In a single-species context, spawning closures may be beneficial for the target species, while in a mixed fisheries and ecosystem context, negative effects may occur. A spawning closure for plaice combines positive effects on the plaice stock and the revenue with reductions of the negative impact for several ecosystem indicators and only a small negative effect on sea bed integrity. The effects did not differ when evaluated at current levels of effort or at maximum sustainable yield (MSY) effort. Tailor-made solutions are required that need to be developed in stakeholder consultation to trade-off the ecological and economic objectives. Mixed-species MSY was lower than the sum of the single-species MSYs. © 2012 Inter-Research.;English;Article;All Open Access, Bronze;Scopus;NA;CS - North Sea;>100,000;five year;50,000-100,000;week;Fisheries Dependent Data;NA;GAM _ YpR model;3;3;3;NA;NA;None;Modelling/simulation;Fish_cartilaginous;NA;NA;NA;Unknown;Catch_and_bycatch;Bycatch;Spawning closures for plaice, sole, and place and sole combined.;Revenue;Commercial;Demersal_trawls;Beam trawl;Flatfish fishery;stock status (spawning stock biomass);Abundance/biomass/density;Multiple;Spawning closure for plaice or a combined spawning closure for plaice and sole contributed positively to the SSB of plaice (SSB increase) and to the bycatch mortality of cod and rays (reducing discards), and contribute negatively to the SSB of sole (SSB decrease) and on the benthos. The spawning closure for sole results generally results in opposite effects. (the effect was low). ;Altuna-Etxabe
SW4_1042;E4;Rijnsdorp A.D., Van Overzee H.M.J., Poos J.J.;Ecological and economic trade-offs in the management of mixed fisheries: A case study of spawning closures in flatfish fisheries;2012;Marine Ecology Progress Series;447;;179;194;10.3354/meps09519;;As a contribution to the ecosystem approach to fisheries management, we estimated the effects of spawning closures on stock status, ecosystem impacts and economic performance. We focused on the flatfish fishery in the North Sea and explored how spawning closures for plaice and sole contribute to sustainable management of 4 target species (sole, plaice, turbot and brill). Seasonal patterns in fishing effort and catchability by age group and area were estimated to quantify the effect of different spawning closure scenarios on the selection pattern. The scenario performance was evaluated using indicators of stock status (spawning stock biomass), economic performance of the fishery (yield, revenue) and ecosystem impact (discards, bycatch of cod and rays, seabed integrity, fisheries-induced evolution). In a single-species context, spawning closures may be beneficial for the target species, while in a mixed fisheries and ecosystem context, negative effects may occur. A spawning closure for plaice combines positive effects on the plaice stock and the revenue with reductions of the negative impact for several ecosystem indicators and only a small negative effect on sea bed integrity. The effects did not differ when evaluated at current levels of effort or at maximum sustainable yield (MSY) effort. Tailor-made solutions are required that need to be developed in stakeholder consultation to trade-off the ecological and economic objectives. Mixed-species MSY was lower than the sum of the single-species MSYs. © 2012 Inter-Research.;English;Article;All Open Access, Bronze;Scopus;NA;CS - North Sea;>100,000;five year;50,000-100,000;week;Fisheries Dependent Data;NA;GAM _ YpR model;3;3;3;NA;NA;None;Modelling/simulation;Benthos;NA;NA;Unknown;Unknown;Catch_and_bycatch;Bycatch;Spawning closures for plaice, sole, and place and sole combined.;Revenue;Commercial;Demersal_trawls;Beam trawl;Flatfish fishery;stock status (spawning stock biomass);Abundance/biomass/density;Multiple;Spawning closure for plaice or a combined spawning closure for plaice and sole contributed positively to the SSB of plaice (SSB increase) and to the bycatch mortality of cod and rays (reducing discards), and contribute negatively to the SSB of sole (SSB decrease) and on the benthos. The spawning closure for sole results generally results in opposite effects. (the effect was low). ;Altuna-Etxabe
SW4_1136;E4;Bartolino V., Colloca F., Taylor L., Stefansson G.;First implementation of a Gadget model for the analysis of hake in the Mediterranean;2011;Fisheries Research;107;01/Mar;75;83;10.1016/j.fishres.2010.10.010;;An age-length structured model was built for European hake Merluccius merluccius in the central Mediterranean Sea using Gadget. This analytical framework allowed to integrate multiple sources of information, including fisheries-dependent and fisheries-independent data, collected at different scales and aggregation levels. The model includes the two main fisheries targeting hake in the area, the trawl and the gillnet fisheries, and account for differences in their selectivity and effort. Alternative models were used for testing different assumptions on recruitment and growth. The model is then used to predict the main trajectory of the stock during the next years and to evaluate the potential effects of implementing closed areas management scenarios in the hake nurseries as a specific tool to reduce fishing mortality on recruits. The modelling framework presented performed successfully also in a commercial landing data limited context, common for the Mediterranean. Our results provide statistical support for fast growth and multiple recruitment events assumptions. Including both these key features represent an unprecedented improvement of modelling hake population dynamics in the Mediterranean. We found that the reduction in the fishing effort that characterized the fisheries in the study area during the last few years, coupled with fast recovery abilities of the hake stock, has the potentiality to allow a moderate increase of the stock during the next years. Interestingly, our simulations show that the positive effects which might be expected from protecting hake nursery grounds are only marginally related to a reduction in hake recruits fishing mortality. Although our model relies on assumptions and surely represents an over-simplification of the real world, it still contributed to improve our understanding of the temporal dynamics of one of the most valuable fish stocks in the central Mediterranean. © 2010 Elsevier B.V.;English;Article;;Scopus;NA;CS - Mediterranean;>100,000;decade;>100,000;quarter;Regular Fisheries Independent Survey;NA;GADGET;2;2;3;The area analised is smaller than the target stock distribution.;NA;None;Modelling/simulation;Fish_teleost;Demersal;NA;NA;Merluccius merluccius ;Catch_and_bycatch;Target;close nursery areas;Biolobical parameters (e.g. growth parameters, recruitment);Commercial;Demersal_trawls;NA;Merluccius merluccius ;Biomass;Abundance/biomass/density;Positive;The positive effects expected from protecting hake nursery grounds are only marginally related to a reduction in hake recruits fishing mortality;Altuna-Etxabe
SW4_1136;E4;Bartolino V., Colloca F., Taylor L., Stefansson G.;First implementation of a Gadget model for the analysis of hake in the Mediterranean;2011;Fisheries Research;107;01/Mar;75;83;10.1016/j.fishres.2010.10.010;;An age-length structured model was built for European hake Merluccius merluccius in the central Mediterranean Sea using Gadget. This analytical framework allowed to integrate multiple sources of information, including fisheries-dependent and fisheries-independent data, collected at different scales and aggregation levels. The model includes the two main fisheries targeting hake in the area, the trawl and the gillnet fisheries, and account for differences in their selectivity and effort. Alternative models were used for testing different assumptions on recruitment and growth. The model is then used to predict the main trajectory of the stock during the next years and to evaluate the potential effects of implementing closed areas management scenarios in the hake nurseries as a specific tool to reduce fishing mortality on recruits. The modelling framework presented performed successfully also in a commercial landing data limited context, common for the Mediterranean. Our results provide statistical support for fast growth and multiple recruitment events assumptions. Including both these key features represent an unprecedented improvement of modelling hake population dynamics in the Mediterranean. We found that the reduction in the fishing effort that characterized the fisheries in the study area during the last few years, coupled with fast recovery abilities of the hake stock, has the potentiality to allow a moderate increase of the stock during the next years. Interestingly, our simulations show that the positive effects which might be expected from protecting hake nursery grounds are only marginally related to a reduction in hake recruits fishing mortality. Although our model relies on assumptions and surely represents an over-simplification of the real world, it still contributed to improve our understanding of the temporal dynamics of one of the most valuable fish stocks in the central Mediterranean. © 2010 Elsevier B.V.;English;Article;;Scopus;NA;CS - Mediterranean;>100,000;decade;>100,000;quarter;Fisheries Dependent Data;NA;GADGET;2;2;3;The area analised is smaller than the target stock distribution.;NA;None;Modelling/simulation;Fish_teleost;Demersal;NA;NA;Merluccius merluccius ;Catch_and_bycatch;Target;close nursery areas;Biolobical parameters (e.g. growth parameters, recruitment);Commercial;Demersal_trawls;NA;Merluccius merluccius ;Biomass;Abundance/biomass/density;Positive;The positive effects expected from protecting hake nursery grounds are only marginally related to a reduction in hake recruits fishing mortality;Altuna-Etxabe
