"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;17.9106655176512;13.3654247975783;38.2612222886342;38.4773099933286;NA
1988;18.16577521838;13.8829902813053;38.1712274220227;38.5353162192839;NA
1989;17.5000136925613;13.5825020132348;38.190115123386;38.5147472057121;NA
1990;17.9750229213923;13.9245294903217;38.2281415396462;38.4887449931198;NA
1991;17.6449261287205;13.6380391395212;38.0463933723334;38.3848822163419;NA
1992;17.9724162079765;13.3590188894148;38.0954043128455;38.4266583133821;NA
1993;17.934266769634;13.0599797060837;38.1237201820621;38.4204118713224;NA
1994;18.4333653995709;13.3798153759195;37.8212207039408;38.2946357753751;NA
1995;17.678204938439;13.3794569361949;37.8920237282124;38.3453967688032;NA
1996;17.4840571623237;13.3779635036001;38.034859309953;38.3669342887131;NA
1997;17.7920244836859;13.7378158669212;38.0877900803821;38.3602673663147;NA
1998;18.398963481187;14.0650144996495;38.107109434781;38.4252438052692;NA
1999;18.4723451810495;13.9183551154396;38.2658500268376;38.5186256155874;6.78138932256562
2000;18.7827934103203;14.1952335710621;38.4118404983681;38.5848459982816;6.7249997956663
2001;18.5582813561018;14.603659792877;38.2095673848252;38.5135785922975;6.77373650803654
2002;18.4453960256868;14.181421778854;38.2262584458242;38.557903209872;6.75797533089681
2003;19.0294282564848;13.8619207011399;38.4239677886667;38.57350542094;6.76110028926727
2004;18.5515846856836;14.0214783400382;38.4260784809585;38.6847543910878;6.93876411707991
2005;18.2841073805609;13.8775268672742;38.4363876951918;38.6628751202767;6.77496383265069
2006;18.2150242669414;13.3856829894734;38.3671101832859;38.6614671504394;6.84712708475265
2007;18.5201421181532;14.1527256136804;38.2051315479824;38.5128612341404;6.97484547624799
2008;18.3372547082815;13.8112824553228;38.1236482918917;38.4478670278223;6.92297147699965
2009;18.4855781869651;13.740179836087;38.0404649639378;38.3767433553703;7.60351628693423
2010;18.1429114357353;13.7041037002458;37.9974962400667;38.3126970374404;7.25430946996832
2011;18.9007679343337;14.1689605925574;38.1692055840395;38.4221953967935;6.82419753352487
2012;19.0365563170391;14.0735563809182;38.4587112464372;38.6804543199383;6.67164155389001
2013;18.8525415683365;14.4781565614118;38.3279963457364;38.698331930823;7.46874812770528
2014;18.9244762523175;15.1021128356005;37.9477813070223;38.5622856482089;7.11646382274473
2015;19.2099603277309;14.6074258065313;38.1989982931673;38.547680202668;7.10923532520062
2016;18.8998784187905;14.9669602972468;38.4298696040784;38.6982532705576;6.92369602221798
2017;18.7028401221392;14.2837079185311;38.3334045761769;38.631871970903;6.71389888180073
2018;19.2922568027988;14.0962719980191;38.0478715745985;38.4607663645887;7.5836404920318
2019;19.215056512129;14.7510548199744;38.3588825345322;38.6898861784764;7.40868248506374
2020;19.0770566631482;14.9415343653285;38.6006262594072;38.7909172513392;7.35414835865085
2021;19.1670356002048;14.9723356594177;38.5968310906056;38.8208548070872;7.19279937830179
