"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;17.8535748853107;13.3862723723429;38.2194842607784;38.4525908260307;NA
1988;18.1278195352092;13.9291570535952;38.1254403298221;38.5122905984626;NA
1989;17.448379057477;13.6149336617601;38.1541381032789;38.4933209321376;NA
1990;17.9382705059088;14.0060961821678;38.195720154272;38.4591455855823;NA
1991;17.6011679406584;13.6726388518442;38.0126969106566;38.3474091397152;NA
1992;17.9283957731193;13.3755668962586;38.0543368634874;38.39435517609;NA
1993;17.8778085605906;13.0751592043489;38.0990585140843;38.3900592027916;NA
1994;18.394822941524;13.418157668701;37.786149828121;38.2444378508731;NA
1995;17.6326712751567;13.3861737247568;37.8447110156492;38.3033997854636;NA
1996;17.4424953593679;13.3795909286106;37.9998109935933;38.3294807813196;NA
1997;17.7487131692913;13.7756427018212;38.0375777782367;38.323187888977;NA
1998;18.3547703684759;14.1196411485669;38.0594039876059;38.3912084461413;NA
1999;18.4004114280923;13.9663370567085;38.2265924426611;38.498412774989;6.89616439263176
2000;18.7472617209805;14.2735005224689;38.381492161344;38.5694349459884;6.85115213886109
2001;18.5202536753125;14.6886604332034;38.1684049163704;38.4880533177052;6.91072145855091
2002;18.380218150603;14.2576481933135;38.1904588644587;38.5416715750738;6.8997665069176
2003;18.9745400656062;13.9028940178946;38.3987151388939;38.5564971488127;6.88009335096329
2004;18.4880258995147;14.1049096773251;38.3962242403189;38.6758839203029;7.06429573928238
2005;18.2284832965128;13.9307365364623;38.4057397458839;38.6507817085646;6.89551228350536
2006;18.1612855414926;13.4171257050327;38.3459717159265;38.6441063357966;6.92547902698115
2007;18.4869351933922;14.238167947713;38.170116099804;38.4749230009793;7.06599329456584
2008;18.2872139627113;13.84616517395;38.083878016594;38.4154615949767;7.04151483572523
2009;18.4500320782716;13.7629025321698;38.0094538136528;38.3409560612226;7.74520620593698
2010;18.0970001908596;13.7376403320027;37.9587487971231;38.275242214811;7.40859587698003
2011;18.8452129673334;14.234456421402;38.1215113890081;38.3976227790548;6.96306184344856
2012;18.984219172374;14.1696349096296;38.422184378622;38.6731109924102;6.77338674791706
2013;18.8023090887818;14.587351008899;38.2893235394283;38.6833823460887;7.664268051234
2014;18.881172678682;15.2175203961906;37.9000241950537;38.5227320481839;7.25715967418636
2015;19.1491252623217;14.6514822182326;38.1471524524759;38.5165568040137;7.25240976034668
2016;18.8625014099889;15.0650987646301;38.390896553597;38.685419505004;7.06001383816196
2017;18.6471983901622;14.3034251663973;38.2789490478706;38.605803670341;6.83977433102779
2018;19.2231948562784;14.1085633569245;37.9919350320309;38.4142572690316;7.75525513205667
2019;19.1545307889053;14.8440819376014;38.3098358525417;38.6650706693727;7.60382923724816
2020;19.0329876048925;15.0337658970727;38.559169666271;38.7740107308326;7.51886841621403
2021;19.105145193009;15.0450607652697;38.549709388453;38.8031503752454;7.36487712324987
