"YEAR";"sst";"botT";"so";"botso";"nppv"
1987;25.5665693315178;14.4432766450076;38.4666073247114;38.6939166520937;NA
1988;25.7490965443183;14.3787602111404;38.1635009121232;38.6216110232047;NA
1989;25.0174355349994;14.4263671420959;38.3221831860996;38.6315107676939;NA
1990;24.9788262061933;14.6359616872984;38.3790387247388;38.6591690995173;NA
1991;25.0525480616031;14.6160520809943;38.2216943476388;38.6175377240467;NA
1992;25.2723073632839;14.1675664922232;38.271005208604;38.6366337219869;NA
1993;24.8684341291774;14.283681943431;38.1527994052507;38.6797665626847;NA
1994;26.2923978026728;14.1818568255639;38.0459944612758;38.555423271567;NA
1995;25.2957986449468;14.0558973489054;38.1397402275279;38.5764388158965;NA
1996;24.4036018908646;14.1706212001143;38.1998817116041;38.5790086594715;NA
1997;24.595273208195;14.3953419789009;38.3738321759095;38.6232312126452;NA
1998;25.8065234677943;14.7753379142569;38.4067638872357;38.6606704986721;NA
1999;25.5535254452281;15.1451935668577;38.3612104152226;38.7488981174746;9.53860274040144
2000;25.1645518479576;15.1409518777914;38.6104114841312;38.7628088945969;8.42106849865251
2001;25.283970056812;15.265399218678;38.3876575854198;38.6702535787998;9.20230351817032
2002;25.5528743752927;15.2475041880672;38.2479752301047;38.778071037223;9.01260003519571
2003;26.8912359926685;14.9986548696969;38.7600293407808;38.7590510591264;9.57525395777379
2004;25.7325606002773;15.2900806246245;38.5503458440651;38.8657210808629;9.52094962621563
2005;25.2249494158817;15.0530148179915;38.6293871909328;38.8261641998914;9.08195929621737
2006;25.8142521636549;14.6513960692839;38.4504459047632;38.6953252233054;9.78885516607828
2007;25.5593442833293;14.9963955953666;38.3699115659686;38.6684384759658;8.97199611272492
2008;26.128505453487;14.9520642148775;38.3029390862444;38.680106961478;9.89172051622517
2009;26.1723282644031;14.4862636115958;38.1631228281797;38.5832187519509;9.96699189420662
2010;25.5773429382695;15.1392418372696;38.3413848976019;38.7217045259674;9.89559466577202
2011;26.2677126710972;15.5859058698905;38.587542727932;38.7985667663856;9.25924354557616
2012;26.7423349279727;15.2579008011083;38.7896709482035;38.8459374168225;8.36738231781745
2013;25.9397399790053;15.5154236465212;38.5557231231786;38.8475117083139;9.27945293228169
2014;25.5122117009526;15.4946337008903;38.2354501946659;38.7449948505901;9.65250280353083
2015;27.1560579931694;15.5495818768119;38.4693011227963;38.848768528959;10.2544925435125
2016;25.794058734988;15.585622807313;38.4886757409282;38.8163894861202;8.94975282713938
2017;25.970829774069;15.4061959764825;38.8167575866038;38.8626558278759;8.08787581970408
2018;26.5580567931033;15.3980611807728;38.2460825868887;38.8173705336716;9.08183076575041
2019;26.7863863276869;15.6463012972148;38.5087325558793;38.9475435884497;8.79972962162772
2020;26.4089968740969;15.5633708724789;38.7915123348014;38.9422408260564;8.96229831145939
2021;26.9874162701257;15.6828204060297;38.8889647806423;38.9895398549982;9.42756796294359
